# ZL_VMIT_A0p2_B160_PP_Crust_Gamma_1p33.lorene converted to units with G=c=Msun=1
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
1.8265602058546300e-05 4.5959704771820764e-03 2.7750050652525936e-08
2.1059507610691063e-05 4.8193962024913883e-03 3.3549244264318845e-08
2.4280768812503824e-05 5.0536776598022470e-03 4.0560350854872561e-08
2.7994753962194364e-05 5.2993423036735710e-03 4.9036635475572720e-08
3.2276830089507426e-05 5.5569432164432886e-03 5.9284290398965577e-08
3.7213892361184211e-05 5.8270603534242849e-03 7.1673495826598679e-08
4.2906127424204359e-05 6.1103018485964000e-03 8.6651792058812661e-08
4.9469046469921034e-05 6.4073053837445659e-03 1.0476024617481023e-07
5.7035829275580373e-05 6.7187396241157327e-03 1.2665299721854687e-07
6.5760026790310822e-05 7.0453057238328842e-03 1.5312088592913436e-07
7.5818677108528695e-05 7.3877389044534336e-03 1.8512002260211475e-07
8.7415898062473795e-05 7.7468101102260434e-03 2.2380632505005128e-07
1.0078702933751395e-04 8.1233277437726681e-03 2.7057727429121828e-07
1.1620340816519702e-04 8.5181394861020276e-03 3.2712239632410884e-07
1.3397787550606369e-04 8.9321342050556751e-03 3.9548429356138617e-07
1.5447112445789935e-04 8.7347719243071609e-03 4.7738756466890845e-07
1.7809901971619111e-04 9.1908464312948635e-03 5.8951726713000080e-07
2.0534103661887530e-04 9.6859468223569056e-03 7.5590947435823744e-07
2.3674999102693472e-04 1.0248084714627348e-02 1.0159135492270239e-06
2.7296325748703954e-04 1.0917844334934701e-02 1.4368934424079451e-06
3.1471570332376216e-04 1.1790266829476925e-02 2.1575147602567398e-06
3.6285460112987056e-04 1.2926989540983369e-02 3.3456303511561800e-06
4.1835682227038209e-04 1.4478917943630432e-02 5.3208416286851164e-06
4.8234866030410318e-04 1.6640488070149395e-02 8.6359208329317320e-06
5.5612868659470527e-04 1.9731991098570489e-02 1.4232192817906368e-05
6.4119410191491519e-04 2.4148201633238386e-02 2.3543673756244892e-05
7.3927111879071078e-04 2.9019938576990034e-02 3.6325177920297353e-05
8.5234999112731875e-04 3.4889440766017632e-02 5.4810877853559266e-05
9.8272540196503184e-04 4.3823628029723949e-02 8.5497954038364881e-05
1.1330430289440575e-03 5.7055081417910047e-02 1.3462379173594834e-04
1.3063532324204636e-03 7.5855717674244483e-02 2.0858302349073380e-04
1.5061729557136292e-03 1.0136821693273479e-01 3.1379644680449729e-04
1.7365570936123190e-03 1.3467948187641188e-01 4.5853041879056480e-04
2.0021807774037730e-03 1.7675597636304041e-01 6.5392989573959202e-04
2.3084342462166767e-03 2.2864979637421934e-01 9.1395385054633888e-04
2.6615322298798216e-03 2.9138401206398701e-01 1.2524644449737566e-03
3.0686400629771817e-03 3.6548620494684614e-01 1.6741409972804012e-03
3.5380190893024789e-03 4.5034278207559297e-01 2.1487941111749849e-03
4.0791943073715496e-03 5.4245986268142965e-01 2.5743637235688221e-03
4.7031476589836424e-03 6.3586977322284288e-01 3.1632023535970483e-03
5.4225408831912658e-03 7.3789196918947497e-01 4.0648737527817494e-03
